Feature,theta,p_value,signif
classname_avg_past_entries,2.2510815430979605,5.83917553185171e-16,***
month_10,-2.183056232355294,1.4129828711514617e-10,***
month_12,-2.133781810300258,4.969839363834891e-14,***
month_8,-1.5760917267356396,5.714240289954139e-08,***
field_avg_past_entries,1.5661141854853502,5.554541112999687e-06,***
totalcost,1.5528405693698957,1.0954211142689303e-05,***
month_9,-1.3510322731883129,4.317718067010118e-05,***
month_6,-1.2773495030727169,4.940407391350917e-05,***
subtype_hunt_seat,-1.1491020840241806,3.503532479679268e-06,***
fed_NRHA,-1.1355137856445137,0.0006517589426671038,***
subtype_hunter_under_saddle,-1.0579669486507919,7.887822501687084e-05,***
has_prize_added_money,0.9757307537037095,0.0036938087661671946,**
prize_jackpot_posted_amount,0.9684430519503581,0.14476979465784806,
has_prize_jackpot,-0.9427594541952448,0.034401400354839407,*
rider_adult_plus,-0.9363428456266895,0.0002864832655529756,***
rider_youth,0.9060071174845009,0.02144697457592972,*
month_4,-0.8491335106244562,0.009885317890903392,**
month_11,-0.7928046609897403,0.006854482337570257,**
rider_yaroki,0.6992564202086662,0.007690583250530731,**
subtype_young_gun,-0.6121546169606029,0.009212867144131024,**
subtype_premium,-0.5934488606712891,0.003878142969070707,**
is_practice,-0.5653976598415106,0.01460079720826483,*
prize_added_money_amount,-0.5311440658614562,0.2899143646630245,
horse_futurity,-0.5223607924714154,0.026006428450069476,*
fed_EXCA,-0.4797538728717347,0.1384055430846478,
subtype_pleasure,-0.44369639683363904,0.11175557207183655,
subtype_horsemanship,0.3962263117861829,0.16492548903663168,
subtype_intermediate,0.37247547951581517,0.1088879733129015,
fed_NCHA,-0.33289761000468465,0.3087285559672146,
subtype_platinum,-0.3194900816015829,0.13144941593894033,
horse_novice,0.28709121288904305,0.26703380334615656,
subtype_cow_horse,-0.2834868584533581,0.17982765606265874,
day_of_week,-0.2733548638315182,0.24651547548670802,
has_prize_shovar,0.2656309330514732,0.4102379031568756,
classes_per_competition,-0.24024701854573943,0.553323718638342,
subtype_walk_jog,-0.2070074314768284,0.3575941306467119,
subtype_trail,-0.186577334696229,0.5084427497907275,
orderinday,-0.12156050413939389,0.6713961993267181,
rider_open,0.1208449438137118,0.6936998572642799,
rider_pro,-0.11240804018198769,0.6406002627040658,
horse_derby,-0.11136508195258725,0.7035794895571127,
month_5,0.07831799093140944,0.7766367148425658,
rider_limited,0.032732340662162816,0.8909667524396246,
rider_non_pro,-0.01574210278063289,0.9590336273500231,
subtype_range_sorting,5.2779271870798335e-17,0.7403625467427031,
