Feature,VIF,Flag
prize_jackpot_posted_amount,8.33729201596666,
has_prize_jackpot,4.705890404278135,
prize_added_money_amount,4.3466412186585295,
field_avg_past_entries,4.192679079654329,
classes_per_competition,4.061070958819226,
rider_youth,3.824398270245964,
totalcost,3.044704955511359,
month_4,2.962258053281479,
has_prize_shovar,2.921935035723748,
month_9,2.876728300993356,
fed_NCHA,2.8510660757097694,
month_10,2.8055822407675985,
has_prize_added_money,2.751337585467533,
fed_NRHA,2.6871432215716027,
classname_avg_past_entries,2.643491732533845,
fed_EXCA,2.5154152684117133,
rider_non_pro,2.4711741702377923,
month_11,2.3378852263858714,
rider_open,2.3372774901554876,
month_6,2.2932154424917504,
orderinday,2.2781309196817796,
month_8,2.2293568517917057,
horse_derby,2.056989882827992,
subtype_pleasure,2.021058113306591,
subtype_horsemanship,1.9968302043946606,
subtype_trail,1.987669444092867,
subtype_hunter_under_saddle,1.9479354032769265,
month_12,1.9264066923590673,
month_5,1.8775154227391748,
rider_yaroki,1.7829661376197075,
subtype_hunt_seat,1.60185338012352,
rider_adult_plus,1.595117215529305,
horse_novice,1.5912541814843677,
horse_futurity,1.5292012831505606,
is_practice,1.436272396056854,
day_of_week,1.4229718703609768,
rider_limited,1.391955411962636,
subtype_intermediate,1.3331214484428053,
subtype_walk_jog,1.3174907465105916,
rider_pro,1.2921203805873838,
subtype_young_gun,1.2522299149177223,
subtype_cow_horse,1.1508464181339522,
subtype_platinum,1.1489099616488376,
subtype_premium,1.06754983200374,
