classincompid,orderinday,totalcost,day_of_week,classes_per_competition,field_avg_past_entries,classname_avg_past_entries,horse_futurity,horse_novice,horse_derby,rider_youth,rider_adult_plus,fed_NRHA,fed_NCHA,fed_EXCA,rider_open,rider_non_pro,rider_yaroki,rider_pro,rider_limited,subtype_cow_horse,subtype_premium,subtype_platinum,subtype_trail,subtype_horsemanship,subtype_pleasure,subtype_hunt_seat,subtype_hunter_under_saddle,subtype_walk_jog,subtype_range_sorting,subtype_intermediate,subtype_young_gun,is_practice,has_prize_shovar,has_prize_jackpot,has_prize_added_money,prize_jackpot_posted_amount,prize_added_money_amount,month_4,month_5,month_6,month_8,month_9,month_10,month_11,month_12,predicted_entrycount
619,1,500.0,3,28,9.97593984962406,9.97593984962406,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,140.0,4000.0,0,0,1,0,0,0,0,0,9.802520488693125
620,2,360.0,3,28,9.97593984962406,9.97593984962406,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,90.0,1200.0,0,0,1,0,0,0,0,0,9.00354634262633
621,3,400.0,3,28,9.97593984962406,9.97593984962406,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,105.0,2000.0,0,0,1,0,0,0,0,0,9.585728040526398
622,4,360.0,3,28,9.97593984962406,9.97593984962406,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,90.0,1200.0,0,0,1,0,0,0,0,0,10.021598710896146
623,5,400.0,3,28,9.97593984962406,9.97593984962406,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,90.0,4400.0,0,0,1,0,0,0,0,0,8.67388833824587
624,6,360.0,3,28,9.97593984962406,9.97593984962406,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,90.0,1200.0,0,0,1,0,0,0,0,0,5.4891716398750425
625,7,40.0,3,28,9.97593984962406,9.97593984962406,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,1,0,0,0,0,0,6.895766662270317
626,8,40.0,3,28,9.97593984962406,9.97593984962406,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,1,0,0,0,0,0,6.573399018221238
627,9,40.0,3,28,9.97593984962406,9.97593984962406,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,1,0,0,0,0,0,6.550638983497716
628,10,370.0,3,28,9.97593984962406,9.97593984962406,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,100.0,0.0,0,0,1,0,0,0,0,0,10.543772835694075
